grupo,area,areacod,num,profes,est,salario,especie,lineas,jovinpre,artb,ponnal,ponint,otros,matripos,joinvcol,proyext,mov,centrosex,arta,caplibr,libr,patentes,gmaesdoc,inves,sumah,hmax,numproy,invesjun,gmaes,codi
Enfermeria,SALUD,3,181,2.406043768,0.693147182,7.68683672,3.18621254,2.079441547,1.386294365,2.994291306,1.609437943,2.397895336,1.386294365,0.693147182,0,5.423286438,0.693147182,0,1.85060513,0,0,0,0.91629076,1.252762914,1.609437943,1.098612309,2.197224617,1.386294365,1.386294365,4.71281147
Limnologia,CIENCIAS,1,182,1.386294365,1.646733642,6.959594727,3.617109776,2.197224617,0.693147182,2.248443365,0,0,0,1.646733642,0.693147182,3.273400307,0,0,0.891346335,0,0,0,0.693147182,1.011600971,1.945910096,1.609437943,1.945910096,1.098612309,0,5.100611687
Ludens,INGENIERIA,2,183,1.536867261,0,6.405320644,1.637176871,1.609437943,0.693147182,1.809641361,1.098612309,0,0,0,0,0,1.609437943,0,1.697278857,0,0,0,0.405465096,0,0.693147182,0.693147182,0.693147182,0,0.693147182,4.238099098
Mapeo,CIENCIAS,1,184,1.593308568,0.548121393,6.608418465,4.019438744,1.386294365,1.098612309,2.07083869,0,0,0.693147182,0.548121393,0,4.933655739,1.386294365,0,2.21210885,0,0,0,0.405465096,0.91629076,2.302585125,1.945910096,1.098612309,0.693147182,0.693147182,3.218094826
Mastozoologia,CIENCIAS,1,185,0.693147182,0.900161326,5.452105522,2.728811502,1.098612309,1.098612309,1.809641361,0,0,0,0.900161326,0,3.609129667,0,0,2.274119854,0,0,0,0,0,0,0,1.609437943,0,0,4.051639557
MES,SOCIALES,4,186,1.316408277,1.894616842,6.505023956,2.827192783,1.609437943,0.693147182,0,0,1.945910096,0,1.894616842,0,4.542252541,0.693147182,0,0.869741678,1.098612309,0.693147182,0,1.252762914,0.91629076,0,0,0.693147182,1.386294365,1.791759491,3.47522974
Micologiam,SALUD,3,187,1.822935104,0.548121393,6.780272007,4.437924385,1.609437943,0.693147182,2.07083869,0,0,0,0.548121393,0.693147182,6.597309589,0.693147182,0.693147182,2.560224056,0,0,0,0,1.178655028,3.178053856,2.890371799,1.098612309,0.693147182,0,1.800712705
Micologiame,CIENCIAS,1,188,1.241268635,1.646733642,6.611785889,4.810037136,2.397895336,1.098612309,2.07083869,0,0,0,1.646733642,1.098612309,6.009739399,0.693147182,0.693147182,1.773357034,0,0,0,1.386294365,1.504077435,2.708050251,2.708050251,1.386294365,1.386294365,1.098612309,5.386698246
Microbiologia,CIENCIAS,1,189,1.432700753,2.102913857,6.529025078,5.477063179,1.609437943,1.386294365,2.07083869,0,0,0,2.102913857,1.609437943,6.965912342,0.693147182,0.693147182,3.067950726,0,0,0,1.504077435,1.178655028,2.890371799,2.302585125,2.302585125,0.693147182,1.386294365,5.59937191
Micro,SOCIALES,4,190,1.495148778,0,7.227436066,2.672382355,1.791759491,1.386294365,2.838749647,0,0,0,0,0,0,0,1.098612309,1.241286397,0,1.098612309,0,0,1.178655028,0.693147182,0.693147182,1.098612309,1.386294365,0,0
