id_var,nom_var,latente
1,profes,RECUR
2,est,OFERTA
3,salario,RECUR
4,especie,RECUR
5,lineas,OFERTA
6,jovinpre,OFERTA
7,artb,OFERTA
8,ponnal,IMPREG
9,ponint,IMPINT
10,otros,IMPREG
11,matripos,OFERTA
12,joinvcol,OFERTA
13,proyext,RECUR
14,mov,RELA
15,centrosex,RELA
16,arta,IMPINT
17,caplibr,IMPINT
18,libr,RECUR
19,patentes,IMPINT
20,gmaesdoc,IMPINT
21,inves,IMPINT
22,sumah,IMPINT
23,hmax,RELA
24,numproy,RELA
25,invesjun,IMPREG
26,gmaes,IMPINT
27,codi,OFERTA
